subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.8904109589041096,1.556070859704081,5.557964591208079,325,138,100,0.3076923076923077,0.7246376811594203,17.80877166160751,1.7445351179548674,325,138,115,0.35384615384615387,10.902374250510846,1.5225781326736791
P11,109,9.256880733944953,4.10091743119266,1.5177097668751307,5.183325961860004,438,447,337,0.769406392694064,0.7539149888143176,22.417057579207814,1.5246938188934598,438,447,358,0.817351598173516,18.35952207256592,1.510332303073513
P12,173,4.369942196531792,2.4046242774566475,1.0766671558148806,5.014936178482728,510,416,297,0.5823529411764706,0.7139423076923077,20.569541093465002,1.6601322051895666,510,416,343,0.6725490196078432,11.685271206406375,1.4570948812691595
P13,278,9.550359712230216,4.205035971223022,1.4396200680712987,5.482622346103437,1185,1169,1008,0.850632911392405,0.8622754491017964,12.864902895594982,1.5811388300841898,1185,1169,1014,0.8556962025316456,10.24137265554126,1.5789823662336535
P14,71,14.23943661971831,4.28169014084507,1.3905562181511486,4.941038263933716,285,304,214,0.7508771929824561,0.7039473684210527,55.67057593695843,1.2532536530139453,285,304,215,0.7543859649122807,51.90350726057879,1.2532536530139453
P15,266,4.394736842105263,2.6954887218045114,0.8994028984289414,4.413379549279561,1062,717,541,0.5094161958568738,0.7545327754532776,11.994949990112515,1.9303819396374686,1062,717,678,0.6384180790960452,3.4053530698299577,1.6799720944662473
P1,186,7.387096774193548,4.161290322580645,1.1234503934849447,5.57023722285517,774,774,733,0.9470284237726099,0.9470284237726099,3.5008720661196193,1.4142135623730951,774,774,748,0.9664082687338501,3.171370794636887,1.4142135623730951
P2,161,12.968944099378882,3.8322981366459627,1.0188418286483345,4.215123975745049,576,617,283,0.4913194444444444,0.4586709886547812,48.90570013174947,60.20862918988953,576,617,309,0.5364583333333334,39.683117754268075,8.73212459828649
P3,218,4.655963302752293,2.761467889908257,1.1253484305267003,4.672295858073954,691,602,498,0.7206946454413893,0.8272425249169435,15.990193863371276,1.182712085915517,691,602,557,0.8060781476121563,9.477774984693937,1.118033988749895
P4,239,4.401673640167364,2.1464435146443517,1.1385087928622522,4.880033106893496,546,513,443,0.8113553113553114,0.8635477582846004,11.149407171743018,1.2292950158456701,546,513,468,0.8571428571428571,6.839096241398259,1.2123390492373425
P5,81,7.864197530864198,4.530864197530864,1.4266981489149229,6.002250097859128,386,367,340,0.8808290155440415,0.9264305177111717,7.21841209056708,1.0542319283144947,386,367,359,0.9300518134715026,2.561126472611025,1.0500157826018426
P6,251,9.167330677290837,3.5298804780876494,1.116035916163276,4.427542371632177,695,886,561,0.8071942446043165,0.6331828442437923,39.455801981610165,1.468418647200395,695,886,577,0.8302158273381295,40.157759547067485,1.4668374120949377
P7,171,6.549707602339181,2.7719298245614037,1.5158513264659745,4.3720975052991555,481,474,334,0.6943866943866944,0.7046413502109705,28.0380752230613,1.6118170550899884,481,474,397,0.8253638253638254,13.338698896717952,1.4500636286054736
P8,124,3.7419354838709675,2.2903225806451615,1.0018502328176047,4.764496221254396,543,284,271,0.4990791896869245,0.954225352112676,3.5701353946717234,1.3881259170329001,543,284,281,0.5174953959484346,1.795517569098287,1.3810485003231108
P9,85,5.929411764705883,3.1294117647058823,1.6511424788570854,4.9258173853405305,266,266,223,0.8383458646616542,0.8383458646616542,14.412223211369994,1.566909117331976,266,266,237,0.8909774436090225,10.338132073094876,1.566909117331976
