subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.260273972602739,2.0136986301369864,1.6048870785249356,4.753717122800492,325,147,103,0.3169230769230769,0.7006802721088435,17.709197430358746,1.687859151656533,325,147,123,0.37846153846153846,10.747235914804941,1.4153039358522101
P11,109,8.192660550458715,4.045871559633028,1.5489032664126101,4.7774155989475275,438,441,349,0.7968036529680366,0.7913832199546486,19.634204312887736,1.48173484707695,438,441,365,0.8333333333333334,16.87195811958065,1.4738138079609502
P12,173,4.468208092485549,2.4161849710982657,1.1535190056769853,5.069991786926886,510,418,339,0.6647058823529411,0.8110047846889952,11.985874403957748,1.5556443493122232,510,418,355,0.696078431372549,8.961455169266046,1.4738530249641955
P13,278,8.723021582733812,4.248201438848921,1.474897353570434,5.031047637888185,1185,1181,1016,0.8573839662447258,0.8602878916172735,10.854194017234143,1.519771579147108,1185,1181,1031,0.870042194092827,9.031413517076599,1.5106534042025612
P14,71,13.084507042253522,4.253521126760563,1.4922402806293535,4.829190337612132,285,302,215,0.7543859649122807,0.7119205298013245,51.52050674078024,1.1780078493996453,285,302,217,0.7614035087719299,47.652188421072815,1.1780078493996453
P15,266,4.511278195488722,2.827067669172932,0.949758332161927,4.262038171254098,1062,752,613,0.5772128060263654,0.8151595744680851,9.087387347198288,1.8027756377319946,1062,752,705,0.6638418079096046,3.472844733824538,1.653144734935231
P1,186,7.096774193548387,4.155913978494624,1.138682975724523,5.4216841909778735,774,773,735,0.9496124031007752,0.9508408796895214,3.2418103537336416,1.4142135623730951,774,773,748,0.9664082687338501,2.969162679907179,1.4142135623730951
P2,161,11.46583850931677,3.7142857142857144,1.058689299497633,4.017055320687338,576,598,301,0.5225694444444444,0.5033444816053512,46.75554734311912,29.90401310861136,576,598,305,0.5295138888888888,41.959385521286414,36.45568774298018
P3,218,4.701834862385321,2.7752293577981653,1.2421878913260491,4.5905309676223105,691,605,570,0.8248914616497829,0.9421487603305785,3.9423686007535492,1.105372799055724,691,605,582,0.8422575976845152,4.218448311177633,1.105372799055724
P4,239,4.196652719665272,2.1464435146443517,1.1734054926580808,4.653831608777945,546,513,465,0.8516483516483516,0.9064327485380117,8.633137103368025,1.1276569484100987,546,513,473,0.8663003663003663,8.40858425614828,1.146140551787346
P5,81,7.703703703703703,4.567901234567901,1.4916264156940748,5.730243065233018,386,370,349,0.9041450777202072,0.9432432432432433,5.073501134987527,1.0500157826018426,386,370,366,0.9481865284974094,1.7524806610646841,1.0482287403528012
P6,251,8.0199203187251,3.4382470119521913,1.2600325259892913,4.170857559321219,695,863,568,0.8172661870503597,0.6581691772885284,30.00617617562001,1.4232042032265013,695,863,581,0.8359712230215828,35.70321531403497,1.4257885922520883
P7,171,6.169590643274854,2.760233918128655,1.7307185347521534,4.118690043769508,481,472,351,0.7297297297297297,0.7436440677966102,16.558185083651757,1.446421030110375,481,472,390,0.8108108108108109,14.121829932479358,1.4426056672254914
P8,124,3.9838709677419355,2.443548387096774,0.9422141843429332,4.675134272087893,543,303,294,0.5414364640883977,0.9702970297029703,2.3252170119987636,1.4142135623730951,543,303,300,0.5524861878453039,1.7970013171927377,1.4142135623730951
P9,85,5.894117647058824,3.1411764705882352,1.6895227730103055,4.782342110239278,266,267,229,0.8609022556390977,0.8576779026217228,11.105548236492234,1.5062225324103307,266,267,242,0.9097744360902256,9.42978775387384,1.5264337522473903
