subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.917808219178082,1.788750436100771,5.46091308866168,325,140,99,0.3046153846153846,0.7071428571428572,19.291243496778783,1.7445351179548674,325,140,110,0.3384615384615385,14.997485437555623,1.5811388300841898
P11,109,9.256880733944953,4.146788990825688,1.6338309366602917,5.209544726771106,438,452,345,0.7876712328767124,0.7632743362831859,21.45736583294621,1.5211502462918403,438,452,356,0.8127853881278538,19.281494233395296,1.5211502462918403
P12,173,4.369942196531792,2.4161849710982657,1.1817714935348358,5.107962917649121,510,418,333,0.6529411764705882,0.7966507177033493,12.970464856853278,1.5924710490756713,510,418,352,0.6901960784313725,9.568069388192807,1.4806565054630862
P13,278,9.550359712230216,4.237410071942446,1.531293519653531,5.514559033139433,1185,1178,1028,0.8675105485232067,0.8726655348047538,10.928883867882698,1.578673924860647,1185,1178,1042,0.8793248945147679,8.71949378744354,1.5681784571499855
P14,71,14.23943661971831,4.394366197183099,1.716139423484281,4.938603288020476,285,312,212,0.743859649122807,0.6794871794871795,58.35341481600531,1.2532536530139453,285,312,215,0.7543859649122807,54.99308755221234,1.2480754415067656
P15,266,4.394736842105263,2.6954887218045114,0.9470596779164436,4.42543836005807,1062,717,588,0.5536723163841808,0.8200836820083682,9.015175486609435,1.8027756377319946,1062,717,677,0.6374764595103578,3.362234810522101,1.6547752868592158
P1,186,7.387096774193548,4.188172043010753,1.1521174857845118,5.547050677874145,774,779,731,0.9444444444444444,0.938382541720154,3.8137625215018023,1.4163943093313125,774,779,747,0.9651162790697675,3.545738578449436,1.4163943093313125
P2,161,12.968944099378882,3.906832298136646,1.1900090527238742,4.198785422873368,576,629,308,0.5347222222222222,0.48966613672496023,44.788458219949774,2.088815522021413,576,629,315,0.546875,40.23740363317461,2.1347239517463596
P3,218,4.655963302752293,2.793577981651376,1.310076102058477,4.6739962126932095,691,609,574,0.8306801736613604,0.9425287356321839,4.009382254627761,1.0817581168988908,691,609,586,0.8480463096960926,4.2250279763829,1.0817581168988908
P4,239,4.401673640167364,2.1548117154811717,1.2191556790072164,4.924923742916332,546,515,466,0.8534798534798534,0.9048543689320389,5.146494196188962,1.125,546,515,476,0.8717948717948718,5.053221408231872,1.1261084844653708
P5,81,7.864197530864198,4.54320987654321,1.4981922123261424,6.005940887545565,386,368,345,0.8937823834196891,0.9375,5.7722728239790735,1.0542319283144947,386,368,362,0.9378238341968912,2.0605050948147214,1.0500157826018426
P6,251,9.167330677290837,3.5737051792828685,1.3597201061880386,4.418140724763706,695,897,572,0.823021582733813,0.6376811594202898,34.950388011786806,1.468418647200395,695,897,583,0.8388489208633093,38.219111099694096,1.4699998823058524
P7,171,6.549707602339181,2.7777777777777777,1.717940916682837,4.394065753603692,481,475,360,0.7484407484407485,0.7578947368421053,16.273490544373328,1.4838342369489261,481,475,391,0.8128898128898129,14.765579405061347,1.4801281434347742
P8,124,3.7419354838709675,2.2903225806451615,1.017925164080789,4.764496221254396,543,284,276,0.5082872928176796,0.971830985915493,2.404795321133407,1.3881259170329001,543,284,281,0.5174953959484346,1.795517569098287,1.3810485003231108
P9,85,5.929411764705883,3.176470588235294,1.7927486491164697,4.985110336157393,266,270,231,0.868421052631579,0.8555555555555555,11.77531596459361,1.5476956312837324,266,270,239,0.8984962406015038,11.029558266135373,1.566909117331976
