subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.904109589041096,1.679903749409908,5.575770796675038,325,139,97,0.29846153846153844,0.697841726618705,18.35890885650986,1.8027756377319946,325,139,110,0.3384615384615385,13.573392782011299,1.5811388300841898
P11,109,9.256880733944953,4.091743119266055,1.5550522081222236,5.222822658075978,438,446,340,0.776255707762557,0.7623318385650224,21.09022920766737,1.5246938188934598,438,446,363,0.8287671232876712,16.444464275632562,1.510332303073513
P12,173,4.369942196531792,2.3583815028901736,1.1071915201568174,4.929336898128643,510,408,272,0.5333333333333333,0.6666666666666666,21.967994812619775,1.8076475932464633,510,408,320,0.6274509803921569,13.686237201488426,1.5591080928069814
P13,278,9.550359712230216,4.197841726618705,1.501314653800743,5.440225023447551,1185,1167,958,0.8084388185654009,0.8209083119108826,18.133346634730568,1.5946234421392327,1185,1167,960,0.810126582278481,13.82340448132788,1.5856151207033369
P14,71,14.23943661971831,4.253521126760563,1.3214919486652315,4.938810188183957,285,302,214,0.7508771929824561,0.7086092715231788,51.73779080865451,1.2480754415067656,285,302,216,0.7578947368421053,49.28781437839154,1.2480754415067656
P15,266,4.394736842105263,2.6954887218045114,0.9331655857631505,4.416141347990888,1062,717,535,0.5037664783427496,0.7461645746164575,12.480718657055466,1.965797765175428,1062,717,674,0.6346516007532956,3.629796873667588,1.6799720944662473
P1,186,7.387096774193548,4.139784946236559,1.1492897124559456,5.5339740117716225,774,770,726,0.937984496124031,0.9428571428571428,3.9045457625077975,1.4142135623730951,774,770,741,0.9573643410852714,3.2845197045331265,1.4142135623730951
P2,161,12.968944099378882,3.801242236024845,1.0282428102862704,4.186400893734017,576,612,275,0.4774305555555556,0.4493464052287582,51.07245000088862,62.16682903934606,576,612,302,0.5243055555555556,41.701691004330094,23.57130208447621
P3,218,4.655963302752293,2.706422018348624,1.2794686593263396,4.5505569741880585,691,590,461,0.6671490593342981,0.7813559322033898,19.079988855756216,1.2060545483782348,691,590,533,0.7713458755426917,11.96854952427518,1.1259506639220789
P4,239,4.401673640167364,2.1464435146443517,1.287826111966952,4.874752639036355,546,513,417,0.7637362637362637,0.8128654970760234,16.664439247519162,1.3391798899989975,546,513,465,0.8516483516483516,7.154948333021232,1.2292950158456701
P5,81,7.864197530864198,4.54320987654321,1.4711626871869334,6.011256233360789,386,368,339,0.8782383419689119,0.9211956521739131,7.750855750742549,1.0542319283144947,386,368,359,0.9300518134715026,3.007757809152937,1.0500157826018426
P6,251,9.167330677290837,3.5338645418326693,1.255170850920336,4.39781558451139,695,887,526,0.7568345323741007,0.593010146561443,45.98072670513816,1.5,695,887,567,0.8158273381294964,42.935948451316754,1.498127013476355
P7,171,6.549707602339181,2.7251461988304095,1.5033506064073596,4.286061876939621,481,466,309,0.6424116424116424,0.6630901287553648,32.15567987285325,1.6529120414176663,481,466,379,0.7879417879417879,16.057418642261613,1.478900117538664
P8,124,3.7419354838709675,2.2903225806451615,1.0058999931868762,4.770812180912925,543,284,268,0.49355432780847147,0.9436619718309859,4.055027269156958,1.4017777929840674,543,284,280,0.5156537753222836,1.9371411661534377,1.3822646068852507
P9,85,5.929411764705883,3.0470588235294116,1.6890349924241816,4.861927604890965,266,259,206,0.7744360902255639,0.7953667953667953,18.39333010826219,1.576693422835167,266,259,228,0.8571428571428571,10.934879937355701,1.5864881477121093
