filename,candidates,cand_raw,cand_roi,roi_margin_px,kernel_eff,median_ksize_eff,cand_passes_used,cand_raw_pass0,cand_raw_merged,eps_eff,match_tol_eff,min_area_eff,max_area_eff,inliers,ransac_err_px,app_sum,scale_factor,present,predicted,correct,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present,idf_predicted,idf_correct,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P13_3450_neg.jpg,1,1,1,0,11,3,3,0,1,6.0,10.0,8,250,0,,,1.0,0,0,0,nan,nan,,,0,0,0,nan,,
P13_3460_pos.jpg,10,10,10,0,11,3,3,5,10,6.0,10.0,8,250,4,0.588412307705331,5.070549316471896,1.0,5,4,4,0.8,1.0,1.25,1.0,5,4,4,0.8,1.25,1.0
P13_3480_pos.jpg,10,10,10,0,11,3,3,9,10,6.0,10.0,8,250,5,2.0452891766132426,5.729891363976937,1.0,5,5,5,1.0,1.0,1.7632050111725515,1.5457274521730466,5,5,5,1.0,1.7632050111725515,1.5457274521730466
P13_3490_pos.jpg,10,10,10,0,11,3,3,10,10,6.0,10.0,8,250,5,2.092776858967969,5.283197076929124,1.0,5,5,5,1.0,1.0,1.7693860029275146,2.242591895017189,5,5,5,1.0,1.7693860029275146,2.242591895017189
P13_3500_pos.jpg,10,10,10,0,11,3,3,6,10,6.0,10.0,8,250,5,0.7642392629120349,8.080249733444706,1.0,5,5,5,1.0,1.0,1.2488369094941545,1.118033988749895,5,5,5,1.0,1.2488369094941545,1.118033988749895
P13_3510_pos.jpg,10,10,10,0,11,3,3,5,10,6.0,10.0,8,250,5,1.1606000495504525,7.62876703871066,1.0,5,5,5,1.0,1.0,1.863477125629141,1.8027756377319946,5,5,5,1.0,1.863477125629141,1.8027756377319946
P13_3540_pos.jpg,9,9,9,0,11,3,3,5,9,6.0,10.0,8,250,5,1.5271704238544592,6.573280529197015,1.0,5,5,5,1.0,1.0,1.7424494704874718,2.23606797749979,5,5,5,1.0,1.7424494704874718,2.23606797749979
P13_3560_pos.jpg,12,12,12,0,11,3,1,12,12,6.0,10.0,8,250,4,1.417712628946215,3.2933648889542892,1.0,4,4,4,1.0,1.0,1.470059041419068,1.3349721167682551,4,4,4,1.0,1.470059041419068,1.3349721167682551
P13_3590_neg.jpg,2,2,2,0,11,3,3,1,2,6.0,10.0,8,250,0,,,1.0,0,0,0,nan,nan,,,0,0,0,nan,,
P13_3600_pos.jpg,4,4,4,0,11,3,3,4,4,6.0,10.0,8,250,3,0.8882735928209419,3.4135104734940582,1.0,3,3,1,0.3333333333333333,0.3333333333333333,15.219240030067127,15.219240030067127,3,3,2,0.6666666666666666,10.76244661900091,2.0615528128088303
P13_360_pos.jpg,4,4,4,0,11,3,3,4,4,6.0,10.0,8,250,4,1.56538251554026,4.846112164073521,1.0,5,4,4,0.8,1.0,1.0408709250106547,0.8268006405620382,5,4,4,0.8,1.0408709250106547,0.8268006405620382
P13_3610_pos.jpg,7,7,7,0,11,3,3,4,7,6.0,10.0,8,250,5,1.5786180021503204,5.14221960640282,1.0,5,5,5,1.0,1.0,1.7276392438417978,1.7965826423162727,5,5,5,1.0,1.7276392438417978,1.7965826423162727
P13_3630_pos.jpg,9,9,9,0,11,3,3,5,9,6.0,10.0,8,250,5,1.1859115555172113,7.020787759787487,1.0,5,5,5,1.0,1.0,1.7128620413359923,1.584648576533946,5,5,5,1.0,1.7128620413359923,1.584648576533946
P13_3650_pos.jpg,7,7,7,0,11,3,3,5,7,6.0,10.0,8,250,5,1.7580010547069906,6.73615921135479,1.0,5,5,5,1.0,1.0,1.6116251857870907,1.5811388300841898,5,5,5,1.0,1.6116251857870907,1.5811388300841898
P13_3660_pos.jpg,12,12,12,0,11,3,1,12,12,6.0,10.0,8,250,5,2.9092926045086864,5.189711241224732,1.0,4,5,1,0.25,0.2,69.59975987338902,79.55666913213278,4,5,0,0.0,52.412650195136095,46.51420239297623
P13_3690_neg.jpg,11,11,11,0,11,3,3,10,11,6.0,10.0,8,250,4,1.3609762236327563,3.018129818847611,1.0,0,4,0,nan,0.0,,,0,4,0,nan,,
P13_3690_pos.jpg,8,8,8,0,11,3,3,5,8,6.0,10.0,8,250,5,1.9881002049750536,6.654253016279597,1.0,5,5,5,1.0,1.0,1.6815800130075076,1.4764823060233445,5,5,5,1.0,1.6815800130075076,1.4764823060233445
P13_370_pos.jpg,8,8,8,0,11,3,3,5,8,6.0,10.0,8,250,5,1.5221544933677165,5.960838823274699,1.0,5,5,5,1.0,1.0,1.5524359846653275,1.5811388300841898,5,5,5,1.0,1.5524359846653275,1.5811388300841898
P13_3710_pos.jpg,9,9,9,0,11,3,3,5,9,6.0,10.0,8,250,5,1.2990644853477347,5.512326476638828,1.0,5,5,5,1.0,1.0,1.5179790258542611,1.4163943093313125,5,5,5,1.0,1.5179790258542611,1.4163943093313125
P13_3720_pos.jpg,9,9,9,0,11,3,3,6,9,6.0,10.0,8,250,5,1.4419800107359262,5.966839026499366,1.0,5,5,5,1.0,1.0,1.5619078273454337,1.5137114368496933,5,5,5,1.0,1.5619078273454337,1.5137114368496933
