subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.8904109589041096,1.556070859704081,5.557964591208079,325,138,100,0.3076923076923077,0.7246376811594203,17.80877166160751,1.7445351179548674,325,138,115,0.35384615384615387,10.902374250510846,1.5225781326736791
P11,109,9.256880733944953,4.10091743119266,1.5238725082577178,5.18497309262845,438,447,337,0.769406392694064,0.7539149888143176,22.471980819670524,1.5246938188934598,438,447,358,0.817351598173516,18.330479138697346,1.510332303073513
P12,173,4.369942196531792,2.4104046242774566,1.0974680996382644,5.032052087186397,510,417,302,0.592156862745098,0.7242206235011991,19.841522091403352,1.6453872062807844,510,417,344,0.6745098039215687,11.686145438031431,1.4570948812691595
P13,278,9.550359712230216,4.2086330935251794,1.4510345377644804,5.486758457743187,1185,1170,1009,0.8514767932489451,0.8623931623931624,13.030358330831067,1.5811388300841898,1185,1170,1014,0.8556962025316456,10.219703320635565,1.5789823662336535
P14,71,14.23943661971831,4.309859154929577,1.451730949004813,4.958631241607427,285,306,214,0.7508771929824561,0.6993464052287581,55.578908070829165,1.2532536530139453,285,306,215,0.7543859649122807,52.092387217279054,1.2532536530139453
P15,266,4.394736842105263,2.6954887218045114,0.8994914603416421,4.413379549279561,1062,717,541,0.5094161958568738,0.7545327754532776,11.994949990112515,1.9303819396374686,1062,717,678,0.6384180790960452,3.4053530698299577,1.6799720944662473
P1,186,7.387096774193548,4.166666666666667,1.1333943480253594,5.574895066294177,774,775,734,0.9483204134366925,0.9470967741935484,3.502159675658767,1.4142135623730951,774,775,749,0.9677002583979328,3.172658404176034,1.4142135623730951
P2,161,12.968944099378882,3.8385093167701863,1.0322824892992264,4.218399480901237,576,618,283,0.4913194444444444,0.45792880258899676,48.8788082410154,60.20862918988953,576,618,309,0.5364583333333334,39.77414850920983,8.73212459828649
P3,218,4.655963302752293,2.7660550458715596,1.1384151024755056,4.6771942302876,691,603,499,0.7221418234442837,0.8275290215588723,15.990034909023615,1.182712085915517,691,603,558,0.8075253256150506,9.477616030346274,1.118033988749895
P4,239,4.401673640167364,2.1464435146443517,1.1424049410010053,4.880033106893496,546,513,443,0.8113553113553114,0.8635477582846004,11.149407171743018,1.2292950158456701,546,513,468,0.8571428571428571,6.839096241398259,1.2123390492373425
P5,81,7.864197530864198,4.54320987654321,1.449791416532917,6.01631952450003,386,368,341,0.883419689119171,0.9266304347826086,7.2225162020390545,1.0542319283144947,386,368,360,0.9326424870466321,2.5652305840829994,1.0500157826018426
P6,251,9.167330677290837,3.537848605577689,1.1442672954744486,4.440906521771942,695,888,561,0.8071942446043165,0.6317567567567568,39.47460113278552,1.468418647200395,695,888,576,0.8287769784172662,40.169598209643084,1.4668374120949377
P7,171,6.549707602339181,2.7777777777777777,1.5372127595193619,4.376532247410293,481,475,333,0.6923076923076923,0.7010526315789474,28.149178174371112,1.6269994843657778,481,475,396,0.8232848232848233,13.709441307053103,1.4523341777359486
P8,124,3.7419354838709675,2.2903225806451615,1.0018502328176047,4.764496221254396,543,284,271,0.4990791896869245,0.954225352112676,3.5701353946717234,1.3881259170329001,543,284,281,0.5174953959484346,1.795517569098287,1.3810485003231108
P9,85,5.929411764705883,3.1294117647058823,1.6691655673180235,4.958943921542139,266,266,227,0.8533834586466166,0.8533834586466166,12.917748642415651,1.5476956312837324,266,266,241,0.9060150375939849,8.760464979815115,1.5476956312837324
