subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.260273972602739,2.0136986301369864,1.495297766677401,4.872669262523133,325,147,103,0.3169230769230769,0.7006802721088435,17.67253218136214,1.687859151656533,325,147,128,0.39384615384615385,7.597685408777577,1.4139376003099364
P11,109,8.192660550458715,4.045871559633028,1.5046167407322,4.778611957113376,438,441,342,0.7808219178082192,0.7755102040816326,20.855309234598433,1.5086174877620409,438,441,367,0.8378995433789954,16.60114993163081,1.4611345082343976
P12,173,4.468208092485549,2.4161849710982657,1.0957671981037338,4.97998864415673,510,418,303,0.5941176470588235,0.7248803827751196,20.38706541146913,1.6645460792872844,510,418,347,0.6803921568627451,11.040148372159978,1.4738530249641955
P13,278,8.723021582733812,4.248201438848921,1.431026471232228,5.032735072801424,1185,1181,1008,0.850632911392405,0.8535139712108383,12.364604383588446,1.5259004347487095,1185,1181,1018,0.8590717299578059,9.868288353066543,1.519771579147108
P14,71,13.084507042253522,4.253521126760563,1.4423318647664227,4.8063468645233955,285,302,213,0.7473684210526316,0.7052980132450332,52.98616944543057,1.1799259356623484,285,302,216,0.7578947368421053,48.97099270224727,1.1799259356623484
P15,266,4.511278195488722,2.827067669172932,0.897990163645043,4.237383831614559,1062,752,575,0.5414312617702448,0.7646276595744681,11.713793508136163,1.8579156195256186,1062,752,706,0.664783427495292,3.541027336202244,1.6553973052089832
P1,186,7.096774193548387,4.155913978494624,1.1317808422778655,5.422700851549705,774,773,735,0.9496124031007752,0.9508408796895214,3.7932951426110195,1.4142135623730951,774,773,749,0.9677002583979328,2.6428125874971533,1.4142135623730951
P2,161,11.46583850931677,3.7142857142857144,0.9655163969052006,4.045146950214698,576,598,277,0.4809027777777778,0.46321070234113715,52.84899061236823,62.95168836328415,576,598,298,0.5173611111111112,43.76616894873205,36.45568774298018
P3,218,4.701834862385321,2.7752293577981653,1.1687082763343093,4.621015966563894,691,605,506,0.7322720694645442,0.8363636363636363,14.682211262036953,1.1901384614811497,691,605,559,0.808972503617945,9.008069359354895,1.11835055060381
P4,239,4.196652719665272,2.1464435146443517,1.130516579792653,4.6202124326039815,546,513,443,0.8113553113553114,0.8635477582846004,14.476453745070193,1.1618302231320512,546,513,469,0.8589743589743589,9.312197074448504,1.1564821550090505
P5,81,7.703703703703703,4.567901234567901,1.473267423256272,5.692918776385729,386,370,342,0.8860103626943006,0.9243243243243243,7.255477677425898,1.0542319283144947,386,370,360,0.9326424870466321,3.417989199854299,1.0535533905932624
P6,251,8.0199203187251,3.4382470119521913,1.145927623411278,4.214441956126585,695,863,564,0.8115107913669065,0.6535341830822712,37.88569289325786,1.4447115137717959,695,863,578,0.8316546762589928,37.43767470777905,1.4447115137717959
P7,171,6.169590643274854,2.760233918128655,1.5616140245793406,4.092147450834207,481,472,328,0.681912681912682,0.6949152542372882,27.32672478724295,1.4992084592820192,481,472,396,0.8232848232848233,13.054606191535978,1.3400550808847496
P8,124,3.9838709677419355,2.443548387096774,0.9288802656304378,4.675134272087893,543,303,293,0.5395948434622467,0.966996699669967,2.9318678525605955,1.4142135623730951,543,303,300,0.5524861878453039,1.7970013171927377,1.4142135623730951
P9,85,5.894117647058824,3.1411764705882352,1.6780636164497378,4.785685743127469,266,267,228,0.8571428571428571,0.8539325842696629,12.836267001303119,1.5264337522473903,266,267,243,0.9135338345864662,8.73672921842438,1.5264337522473903
