subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.260273972602739,2.0136986301369864,1.523939828544155,4.869951008443038,325,147,102,0.31384615384615383,0.6938775510204082,18.54201547878479,1.687859151656533,325,147,127,0.39076923076923076,7.876370948006795,1.4141215750187066
P11,109,8.192660550458715,4.10091743119266,1.6081614828093156,4.815225580033139,438,447,351,0.8013698630136986,0.785234899328859,19.302235409579257,1.4892662778109744,438,447,367,0.8378995433789954,16.526380821861224,1.48173484707695
P12,173,4.468208092485549,2.439306358381503,1.1550443868830094,5.014749546395879,510,422,312,0.611764705882353,0.7393364928909952,18.85183636655004,1.6337379471874125,510,422,348,0.6823529411764706,11.28509650350955,1.4738530249641955
P13,278,8.723021582733812,4.276978417266187,1.5045298946975556,5.057522711210147,1185,1189,1037,0.8751054852320675,0.872161480235492,9.676266144580662,1.5069392542907167,1185,1189,1046,0.8827004219409282,8.207887841038513,1.5
P14,71,13.084507042253522,4.323943661971831,1.611738834782666,4.824312956225376,285,307,211,0.7403508771929824,0.6872964169381107,53.81670215574911,1.1799259356623484,285,307,216,0.7578947368421053,49.02542492128913,1.1780078493996453
P15,266,4.511278195488722,2.827067669172932,0.9253132703384763,4.258943707635192,1062,752,607,0.571563088512241,0.8071808510638298,10.002939006257833,1.803399435829065,1062,752,707,0.6657250470809792,3.5181592341878036,1.653144734935231
P1,186,7.096774193548387,4.166666666666667,1.1468639447542575,5.437421208638171,774,775,736,0.9509043927648578,0.9496774193548387,3.8682298896235148,1.4142135623730951,774,775,748,0.9664082687338501,2.9244658505655594,1.4142135623730951
P2,161,11.46583850931677,3.7577639751552794,1.079887875552387,4.076993629160374,576,605,308,0.5347222222222222,0.509090909090909,47.39531682140909,2.042907092296466,576,605,314,0.5451388888888888,41.53686459289421,2.15443565270306
P3,218,4.701834862385321,2.7981651376146788,1.2514251254100321,4.63941898912609,691,610,515,0.7452966714905933,0.8442622950819673,14.092231316746847,1.1901384614811497,691,610,564,0.8162083936324168,9.006115766775098,1.11835055060381
P4,239,4.196652719665272,2.1548117154811717,1.184734931693513,4.664090648417536,546,515,456,0.8351648351648352,0.8854368932038835,11.638555168128038,1.1564821550090505,546,515,474,0.8681318681318682,8.211311499013847,1.1564821550090505
P5,81,7.703703703703703,4.592592592592593,1.5984593840423214,5.719831546463644,386,372,354,0.917098445595855,0.9516129032258065,4.571749692498123,1.0500157826018426,386,372,366,0.9481865284974094,2.639125294068391,1.0500157826018426
P6,251,8.0199203187251,3.4780876494023905,1.2740875126310858,4.236993151822164,695,873,567,0.8158273381294964,0.6494845360824743,37.94767364345109,1.4699998823058524,695,873,578,0.8316546762589928,37.55274777632557,1.4699998823058524
P7,171,6.169590643274854,2.760233918128655,1.5872184937642098,4.093044140320612,481,472,333,0.6923076923076923,0.7055084745762712,27.3390207282172,1.4996042296410095,481,472,398,0.8274428274428275,12.610310163023293,1.3400550808847496
P8,124,3.9838709677419355,2.4516129032258065,0.9575903766357211,4.681390823111781,543,304,294,0.5414364640883977,0.9671052631578947,2.923875508746216,1.4142135623730951,543,304,301,0.5543278084714549,1.7890089733783587,1.4142135623730951
P9,85,5.894117647058824,3.2,1.8367967310944873,4.841867647403616,266,272,231,0.868421052631579,0.8492647058823529,13.431185466445184,1.5640333637775456,266,272,242,0.9097744360902256,10.324166519194435,1.5640333637775456
