filename,candidates,cand_raw,cand_roi,roi_margin_px,kernel_eff,median_ksize_eff,cand_passes_used,cand_raw_pass0,cand_raw_merged,eps_eff,match_tol_eff,min_area_eff,max_area_eff,inliers,ransac_err_px,app_sum,scale_factor,present,predicted,correct,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present,idf_predicted,idf_correct,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10_1100_pos.jpg,1,1,1,0,7,3,5,1,1,3.0,5.0,2,62,0,,,0.5,3,0,0,0.0,nan,,,3,0,0,0.0,,
P10_1200_pos.jpg,1,1,1,0,7,3,5,0,1,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_1500_pos.jpg,1,1,1,0,7,3,5,0,1,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_1650_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_1800_pos.jpg,9,9,9,0,11,3,5,8,9,6.0,10.0,8,250,5,1.8162044285615402,6.578057518781442,1.0,5,5,5,1.0,1.0,1.745082733996096,1.7445351179548674,5,5,5,1.0,1.745082733996096,1.7445351179548674
P10_1850_pos.jpg,1,1,1,0,7,3,5,0,1,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_2100_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_2200_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_2350_pos.jpg,8,8,8,0,11,3,5,6,8,6.0,10.0,8,250,5,2.0026682080294993,7.0729672497982605,1.0,5,5,5,1.0,1.0,1.5915104052030222,1.4142135623730951,5,5,5,1.0,1.5915104052030222,1.4142135623730951
P10_2500_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_250_pos.jpg,11,11,11,0,11,3,5,10,11,6.0,10.0,8,250,5,1.8833439284862323,7.202889250116386,1.0,5,5,5,1.0,1.0,1.4291310736263836,1.1910856900774354,5,5,5,1.0,1.4291310736263836,1.1910856900774354
