subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,3.6986301369863015,1.8493150684931507,1.8100419607382094,5.172538540063042,325,135,103,0.3169230769230769,0.762962962962963,16.795393141010564,1.6372315286942143,325,135,122,0.37538461538461537,5.261294580368417,1.3718955193857387
P11,109,8.642201834862385,4.110091743119266,1.9424010914251972,5.108795018113322,438,448,395,0.9018264840182648,0.8816964285714286,9.471311554981538,1.4418506200431942,438,448,407,0.9292237442922374,6.63510419901262,1.437575565607268
P12,173,4.046242774566474,2.3352601156069364,1.2868795935343769,4.80459586931156,510,404,345,0.6764705882352942,0.8539603960396039,12.540539995519499,1.4142135623730951,510,404,367,0.7196078431372549,5.667949884158909,1.4142135623730951
P13,278,8.5,4.151079136690647,1.6620877882004648,5.2498319054364,1185,1154,1027,0.8666666666666667,0.889948006932409,10.719682648079477,1.5461228501541056,1185,1154,1027,0.8666666666666667,8.463844959853882,1.540569415042095
P14,71,14.154929577464788,4.070422535211268,1.3893546221321589,4.947305856610977,285,289,229,0.8035087719298246,0.7923875432525952,29.85525414544381,1.1795566340793142,285,289,237,0.8315789473684211,26.625732319266838,1.1795566340793142
P15,266,3.898496240601504,2.5902255639097747,1.1005386480935435,4.292733532017499,1062,689,518,0.487758945386064,0.7518142235123367,12.833095830196847,1.8110092842265666,1062,689,660,0.6214689265536724,2.817113005209262,1.6473224186309203
P1,186,6.612903225806452,4.155913978494624,1.2971769589841156,5.141057113099742,774,773,734,0.9483204134366925,0.9495472186287193,3.385042401847385,1.368730340252476,774,773,755,0.975452196382429,1.7192023881251284,1.368730340252476
P2,161,11.639751552795031,3.670807453416149,1.2606687397083043,4.382164590264996,576,591,291,0.5052083333333334,0.49238578680203043,55.20680509581667,41.251649211478075,576,591,304,0.5277777777777778,49.95007434011986,20.864235584622136
P3,218,4.509174311926605,2.8256880733944953,1.6586475269547907,4.11236937269819,691,616,560,0.8104196816208393,0.9090909090909091,8.54361018904335,1.127098922306728,691,616,583,0.8437047756874095,6.122769500913442,1.118033988749895
P4,239,3.98744769874477,2.1255230125523012,1.569491669275616,4.519671818488859,546,508,457,0.836996336996337,0.8996062992125984,11.439179980990282,1.1358248302074267,546,508,473,0.8663003663003663,10.978899035940938,1.1358248302074267
P5,81,6.950617283950617,4.493827160493828,1.6381217889206987,5.423302027879616,386,364,342,0.8860103626943006,0.9395604395604396,6.2542515301462345,1.0122227195366678,386,364,359,0.9300518134715026,2.9427037350598324,1.0122227195366678
P6,251,8.235059760956176,3.442231075697211,1.4655785049904198,4.06328312932978,695,864,572,0.823021582733813,0.6620370370370371,36.71241588167098,1.3742477925611833,695,864,586,0.8431654676258993,42.352391221159785,1.3742592281575894
P7,171,6.087719298245614,2.7719298245614037,1.906177920718297,3.742512949136942,481,474,328,0.681912681912682,0.6919831223628692,32.7763426908883,1.5805205230696737,481,474,394,0.8191268191268192,14.127502911041153,1.4396900968517625
P8,124,3.1693548387096775,1.8225806451612903,1.3509860896087251,4.834230470892,543,226,219,0.40331491712707185,0.9690265486725663,3.1049835072273386,1.32750793019812,543,226,226,0.4162062615101289,1.298965073907263,1.307261234905609
P9,85,5.647058823529412,3.235294117647059,1.955248542702261,4.640850612796907,266,275,228,0.8571428571428571,0.8290909090909091,14.961840990274883,1.5452382306685184,266,275,250,0.9398496240601504,6.563078129972032,1.4536932908319313
