subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.8904109589041096,1.6123657040960593,5.6090477279390845,325,138,97,0.29846153846153844,0.7028985507246377,18.69888104109813,1.8027756377319946,325,138,112,0.3446153846153846,12.018078279447073,1.5681784571499855
P11,109,9.256880733944953,4.073394495412844,1.4679651017325908,5.205531398064868,438,444,342,0.7808219178082192,0.7702702702702703,21.699288449815356,1.5360534633300573,438,444,365,0.8333333333333334,16.932318632387656,1.5211502462918403
P12,173,4.369942196531792,2.3583815028901736,1.1050945685416858,4.929336898128643,510,408,272,0.5333333333333333,0.6666666666666666,21.967994812619775,1.8076475932464633,510,408,320,0.6274509803921569,13.686237201488426,1.5591080928069814
P13,278,9.550359712230216,4.176258992805756,1.4501291687151106,5.399570499079053,1185,1161,953,0.8042194092827004,0.8208440999138673,18.541831449370317,1.5872767734783375,1185,1161,963,0.8126582278481013,13.639502973215398,1.5811388300841898
P14,71,14.23943661971831,4.253521126760563,1.3022020096499924,4.887932903199907,285,302,214,0.7508771929824561,0.7086092715231788,51.94408173158835,1.2480754415067656,285,302,216,0.7578947368421053,49.36499193887423,1.2480754415067656
P15,266,4.394736842105263,2.6954887218045114,0.9328159045325664,4.420980920785515,1062,717,535,0.5037664783427496,0.7461645746164575,12.480065368762125,1.965797765175428,1062,717,674,0.6346516007532956,3.6291435853742495,1.6799720944662473
P1,186,7.387096774193548,4.150537634408602,1.1351611149766485,5.516038333794987,774,772,725,0.9366925064599483,0.939119170984456,3.9032581529686503,1.4142135623730951,774,772,740,0.9560723514211886,3.283232094993979,1.4142135623730951
P2,161,12.968944099378882,3.782608695652174,0.9803640112265624,4.085912437489314,576,609,270,0.46875,0.4433497536945813,49.580648424261774,60.20862918988953,576,609,303,0.5260416666666666,39.54650292587387,9.552292817494774
P3,218,4.655963302752293,2.7018348623853212,1.2706094524042404,4.545658601974412,691,589,460,0.6657018813314037,0.7809847198641766,19.080147810103878,1.2060545483782348,691,589,532,0.7698986975397974,11.96870847862284,1.1259506639220789
P4,239,4.401673640167364,2.1380753138075312,1.2456794119778198,4.8522319155046825,546,511,417,0.7637362637362637,0.8160469667318982,16.37455509803279,1.3391798899989975,546,511,459,0.8406593406593407,7.710122264627671,1.2314956892547704
P5,81,7.864197530864198,4.530864197530864,1.4519273191753652,5.9971868067198875,386,367,338,0.8756476683937824,0.9209809264305178,7.746751639270574,1.0542319283144947,386,367,358,0.927461139896373,3.0036536976809627,1.0500157826018426
P6,251,9.167330677290837,3.5258964143426295,1.2057261407573407,4.364641721665223,695,885,526,0.7568345323741007,0.5943502824858757,47.467082022236895,1.5,695,885,564,0.8115107913669065,44.61356717272111,1.498127013476355
P7,171,6.549707602339181,2.7076023391812867,1.452475790539371,4.264673971405263,481,463,307,0.6382536382536382,0.6630669546436285,32.04851937438519,1.6436794589643502,481,463,377,0.7837837837837838,15.690586102513322,1.4523341777359486
P8,124,3.7419354838709675,2.2903225806451615,1.0058999931868762,4.770812180912925,543,284,268,0.49355432780847147,0.9436619718309859,4.055027269156958,1.4017777929840674,543,284,280,0.5156537753222836,1.9371411661534377,1.3822646068852507
P9,85,5.929411764705883,3.0352941176470587,1.6354348459076222,4.848811747909415,266,258,208,0.7819548872180451,0.8062015503875969,16.944751240377006,1.576693422835167,266,258,227,0.8533834586466166,10.984181095940945,1.615468132527435
