subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,3.6986301369863015,1.8493150684931507,1.7641346328408156,5.099519448476382,325,135,99,0.3046153846153846,0.7333333333333333,17.973669566159263,1.718929672629553,325,135,114,0.3507692307692308,10.329596997355926,1.4203132063466182
P11,109,8.642201834862385,4.110091743119266,1.56595192691064,4.960726932106746,438,448,348,0.7945205479452054,0.7767857142857143,20.57473013340883,1.4748754369056407,438,448,359,0.819634703196347,18.391977055781993,1.4748754369056407
P12,173,4.046242774566474,2.346820809248555,1.154652867825046,4.83913953460929,510,406,321,0.6294117647058823,0.7906403940886699,12.794209809632603,1.540569415042095,510,406,341,0.6686274509803921,9.548042105903393,1.4142135623730951
P13,278,8.5,4.071942446043166,1.4577668040826093,5.243154592117711,1185,1132,1014,0.8556962025316456,0.8957597173144877,9.687727410748142,1.5496726534275171,1185,1132,1030,0.869198312236287,7.651453355096379,1.545925151163576
P14,71,14.154929577464788,4.309859154929577,1.4972542368817816,4.880968518903114,285,306,214,0.7508771929824561,0.6993464052287581,56.134313455460855,1.2353106647978518,285,306,215,0.7543859649122807,53.090969289426,1.2353106647978518
P15,266,3.898496240601504,2.6165413533834587,0.9647932499836787,4.3694063994508445,1062,696,577,0.5433145009416196,0.8290229885057471,8.677126452067867,1.7681265596250455,1062,696,660,0.6214689265536724,3.227260157384287,1.622028832486837
P1,186,6.612903225806452,4.129032258064516,1.1179157170033045,5.22582471672929,774,768,737,0.9521963824289406,0.9596354166666666,3.0028623779927903,1.3679914775869586,774,768,750,0.9689922480620154,2.294278966804135,1.3679914775869586
P2,161,11.639751552795031,3.720496894409938,1.0654507759923986,4.187111058652669,576,599,303,0.5260416666666666,0.5058430717863105,45.554208301201875,29.90401310861136,576,599,304,0.5277777777777778,41.73236878550232,36.90165269329785
P3,218,4.509174311926605,2.7339449541284404,1.1923644375113944,4.438829579902086,691,596,565,0.8176555716353111,0.947986577181208,3.5341398082576516,1.075761328913685,691,596,579,0.8379160636758322,4.245907003319856,1.0743529883342542
P4,239,3.98744769874477,2.1255230125523012,1.2287863686853475,4.6895510902469795,546,508,460,0.8424908424908425,0.905511811023622,6.011421695159164,1.1318918403813782,546,508,471,0.8626373626373627,5.914782711513877,1.1318918403813782
P5,81,6.950617283950617,4.444444444444445,1.472974363472479,5.443342737155008,386,360,342,0.8860103626943006,0.95,4.6702555418826535,1.0,386,360,358,0.927461139896373,1.409796228179722,1.0
P6,251,8.235059760956176,3.4860557768924303,1.2770135099079136,4.310143369474665,695,875,573,0.8244604316546763,0.6548571428571428,32.30065557431949,1.3740961806849459,695,875,586,0.8431654676258993,35.37307108195267,1.3742363569647773
P7,171,6.087719298245614,2.7485380116959064,1.708542175970497,4.164597624528182,481,470,362,0.7525987525987526,0.7702127659574468,15.07684852310792,1.4540258618121564,481,470,389,0.8087318087318087,14.501321101411563,1.4557175458883644
P8,124,3.1693548387096775,2.0,1.162168765880289,4.6727204573157675,543,248,243,0.44751381215469616,0.9798387096774194,2.397424917806265,1.3482816991958582,543,248,246,0.4530386740331492,1.5101523319198376,1.3482816991958582
P9,85,5.647058823529412,3.1411764705882352,1.7151789812580507,4.7139964708431465,266,267,229,0.8609022556390977,0.8576779026217228,11.052371783771354,1.4939675291106576,266,267,242,0.9097744360902256,9.38043106018731,1.5062225324103307
