subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.027397260273973,1.8904109589041096,1.5954054795909127,5.016499678361955,325,138,103,0.3169230769230769,0.7463768115942029,16.767446529726588,1.6536109172788747,325,138,121,0.3723076923076923,7.5863107368714235,1.4140295876643183
P11,109,8.100917431192661,4.045871559633028,1.5082463287772179,4.737596378119001,438,441,345,0.7876712328767124,0.782312925170068,20.320731333235088,1.5211502462918403,438,441,367,0.8378995433789954,16.592670164399035,1.477389878727366
P12,173,4.329479768786127,2.4046242774566475,1.0906131554463592,4.850796748512767,510,416,302,0.592156862745098,0.7259615384615384,19.93512692731958,1.6601322051895666,510,416,345,0.6764705882352942,10.996158806680597,1.4570948812691595
P13,278,8.571942446043165,4.176258992805756,1.4678360974940303,5.079317583509164,1185,1161,1005,0.8481012658227848,0.8656330749354005,12.324090619277689,1.5377920450974203,1185,1161,1021,0.8616033755274262,9.368207030712867,1.5206325271267838
P14,71,13.070422535211268,4.253521126760563,1.4423318647664227,4.8063312571877175,285,302,213,0.7473684210526316,0.7052980132450332,52.98616944543057,1.1799259356623484,285,302,216,0.7578947368421053,48.97099270224727,1.1799259356623484
P15,266,4.2556390977443606,2.672932330827068,0.9176509872156654,4.28681651240429,1062,711,554,0.5216572504708098,0.7791842475386779,11.231319853853558,1.825352532327099,1062,711,673,0.6337099811676082,3.3465100636296863,1.6406858593992704
P1,186,6.876344086021505,4.155913978494624,1.1322386110368237,5.325317372926641,774,773,735,0.9496124031007752,0.9508408796895214,3.7787804387332926,1.3962003476986673,774,773,749,0.9677002583979328,2.6277864274684357,1.3885963387116693
P2,161,11.4472049689441,3.7142857142857144,0.9648980265231526,4.044149163801396,576,598,277,0.4809027777777778,0.46321070234113715,52.8490058663424,62.95168836328415,576,598,298,0.5173611111111112,43.76552095016941,36.45568774298018
P3,218,4.591743119266055,2.7522935779816513,1.1348452225024594,4.509483470167329,691,600,499,0.7221418234442837,0.8316666666666667,15.308208458929837,1.191085690077451,691,600,556,0.804630969609262,9.080065140132527,1.118033988749895
P4,239,4.087866108786611,2.1338912133891212,1.1358005957120714,4.615636042549746,546,510,443,0.8113553113553114,0.8686274509803922,13.210256350725953,1.1686107005881055,546,510,466,0.8534798534798534,9.598648240154027,1.155917467211066
P5,81,7.432098765432099,4.54320987654321,1.4614230229987462,5.617401527288895,386,368,341,0.883419689119171,0.9266304347826086,7.225004672796344,1.0535533905932624,386,368,360,0.9326424870466321,2.566968784366813,1.0482287403528012
P6,251,7.884462151394422,3.4262948207171315,1.1421238434561312,4.205061971770042,695,860,564,0.8115107913669065,0.6558139534883721,37.31924096908129,1.4257885922520883,695,860,578,0.8316546762589928,37.17527192509797,1.4257885922520883
P7,171,6.029239766081871,2.760233918128655,1.558545075487472,4.065592358473461,481,472,328,0.681912681912682,0.6949152542372882,27.583307431511052,1.4992084592820192,481,472,395,0.8212058212058212,13.164383500249562,1.3721210039142937
P8,124,3.685483870967742,2.282258064516129,0.9733860441017652,4.6335354122455845,543,283,270,0.4972375690607735,0.9540636042402827,3.573683466495047,1.3875725275817112,543,283,280,0.5156537753222836,1.8013873019458149,1.3789370397033927
P9,85,5.670588235294118,3.152941176470588,1.7324794766795208,4.733100490243385,266,268,229,0.8609022556390977,0.8544776119402985,12.817418682014969,1.5640333637775456,266,268,244,0.9172932330827067,8.717880899136231,1.5640333637775456
