subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.8904109589041096,1.5560708597040809,5.557964591208079,325,138,100,0.3076923076923077,0.7246376811594203,17.80877166160751,1.7445351179548674,325,138,115,0.35384615384615387,10.902374250510846,1.5225781326736791
P11,109,9.256880733944953,4.10091743119266,1.5085472621488418,5.206303488396307,438,447,344,0.7853881278538812,0.7695749440715883,20.785286266781377,1.5246938188934598,438,447,362,0.8264840182648402,17.522502977271962,1.515535689636938
P12,173,4.369942196531792,2.4104046242774566,1.0953711480231327,5.032052087186397,510,417,302,0.592156862745098,0.7242206235011991,19.841522091403352,1.6453872062807844,510,417,344,0.6745098039215687,11.686145438031431,1.4570948812691595
P13,278,9.550359712230216,4.190647482014389,1.409288123751603,5.445654197907286,1185,1165,1005,0.8481012658227848,0.8626609442060086,13.488807330139366,1.5801041144803984,1185,1165,1014,0.8556962025316456,10.205612062675241,1.5733154866402899
P14,71,14.23943661971831,4.295774647887324,1.3912451251045854,4.9233392711148225,285,305,214,0.7508771929824561,0.7016393442622951,52.90474435181939,1.2532536530139453,285,305,215,0.7543859649122807,50.28985964640099,1.2532536530139453
P15,266,4.394736842105263,2.6954887218045114,0.899141779111058,4.418219122074189,1062,717,541,0.5094161958568738,0.7545327754532776,11.994296701819176,1.9303819396374686,1062,717,678,0.6384180790960452,3.4046997815366193,1.6799720944662473
P1,186,7.387096774193548,4.17741935483871,1.116342712916755,5.542134351346246,774,777,729,0.9418604651162791,0.9382239382239382,3.811855756175872,1.4163943093313125,774,777,745,0.962532299741602,3.5453294252206486,1.4163943093313125
P2,161,12.968944099378882,3.8260869565217392,0.9868803066636531,4.112540889088369,576,616,282,0.4895833333333333,0.4577922077922078,48.42865443223219,48.1412641595429,576,616,310,0.5381944444444444,39.29152814916703,3.0250215793536923
P3,218,4.655963302752293,2.761467889908257,1.1295558955534062,4.672295858073954,691,602,498,0.7206946454413893,0.8272425249169435,15.990193863371276,1.182712085915517,691,602,557,0.8060781476121563,9.477774984693937,1.118033988749895
P4,239,4.401673640167364,2.1464435146443517,1.1424049410010053,4.880033106893496,546,513,443,0.8113553113553114,0.8635477582846004,11.149407171743018,1.2292950158456701,546,513,468,0.8571428571428571,6.839096241398259,1.2123390492373425
P5,81,7.864197530864198,4.530864197530864,1.430556048521349,6.002250097859128,386,367,340,0.8808290155440415,0.9264305177111717,7.21841209056708,1.0542319283144947,386,367,359,0.9300518134715026,2.561126472611025,1.0500157826018426
P6,251,9.167330677290837,3.5298804780876494,1.1030006823726066,4.379014638324267,695,886,557,0.8014388489208633,0.628668171557562,43.55679697064852,1.4832721126276898,695,886,572,0.823021582733813,44.09175801336883,1.4699998823058524
P7,171,6.549707602339181,2.760233918128655,1.4863379436513735,4.355144341875936,481,472,331,0.6881496881496881,0.701271186440678,28.042017675903047,1.6118170550899884,481,472,394,0.8191268191268192,13.342608767304815,1.4500636286054736
P8,124,3.7419354838709675,2.2903225806451615,1.0013092551907348,4.788991583737949,543,284,271,0.4990791896869245,0.954225352112676,3.5463800266138414,1.3810485003231108,543,284,281,0.5174953959484346,1.7717622010404046,1.3715420535458036
P9,85,5.929411764705883,3.1176470588235294,1.6140670244444708,4.924001822613655,266,265,227,0.8533834586466166,0.8566037735849057,12.709689321763888,1.5476956312837324,266,265,239,0.8984962406015038,9.476571270857656,1.566909117331976
