subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.027397260273973,1.8904109589041096,1.6722892149868485,4.886036041246801,325,138,102,0.31384615384615383,0.7391304347826086,16.884378033827232,1.6536109172788747,325,138,116,0.3569230769230769,11.040656453159501,1.4932977839684038
P11,109,8.100917431192661,4.045871559633028,1.5525328544576285,4.736400019953152,438,441,352,0.8036529680365296,0.7981859410430839,19.099626411524387,1.4892662778109744,438,441,365,0.8333333333333334,16.86347835234887,1.48173484707695
P12,173,4.329479768786127,2.4046242774566475,1.1497992957105618,4.947129261044247,510,416,335,0.6568627450980392,0.8052884615384616,12.169247922907099,1.5556443493122232,510,416,353,0.692156862745098,9.12259457561454,1.4640758991922698
P13,278,8.571942446043165,4.176258992805756,1.4942302825951255,5.080722135991656,1185,1161,1015,0.8565400843881856,0.8742463393626184,10.938683333637275,1.5259004347487095,1185,1161,1032,0.8708860759493671,8.594905119751072,1.5189507585620872
P14,71,13.070422535211268,4.253521126760563,1.4922402806293535,4.829174730276454,285,302,215,0.7543859649122807,0.7119205298013245,51.52050674078024,1.1780078493996453,285,302,217,0.7614035087719299,47.652188421072815,1.1780078493996453
P15,266,4.2556390977443606,2.672932330827068,0.9645389397292814,4.293423196085792,1062,711,588,0.5536723163841808,0.8270042194092827,8.760742990473783,1.7912223504217777,1062,711,672,0.632768361581921,3.3002770505810606,1.6301972270806813
P1,186,6.876344086021505,4.155913978494624,1.1391407444834811,5.324300712354808,774,773,735,0.9496124031007752,0.9508408796895214,3.2272956498559147,1.3962003476986673,774,773,748,0.9664082687338501,2.9541365198784617,1.3885963387116693
P2,161,11.4472049689441,3.7142857142857144,1.0568942077343741,4.012809020093436,576,598,301,0.5225694444444444,0.5033444816053512,46.75554734311912,29.90401310861136,576,598,305,0.5295138888888888,41.958766380185764,36.45568774298018
P3,218,4.591743119266055,2.7522935779816513,1.2158334081747342,4.471013506042721,691,600,566,0.8191027496382055,0.9433333333333334,3.5112785087795753,1.1103901399660314,691,600,578,0.8364688856729378,4.225558173750791,1.1003554581454167
P4,239,4.087866108786611,2.1338912133891212,1.1656999291866643,4.6359018080615435,546,510,461,0.8443223443223443,0.903921568627451,8.5755378247278,1.1194890666127706,546,510,470,0.8608058608058609,8.682620807965867,1.1358248302074267
P5,81,7.432098765432099,4.54320987654321,1.4762360822998393,5.609025178167641,386,368,345,0.8937823834196891,0.9375,5.74693114187929,1.0360918531312753,386,368,362,0.9378238341968912,2.0353022721087783,1.0360918531312753
P6,251,7.884462151394422,3.4262948207171315,1.246430549348996,4.162460202224047,695,860,568,0.8172661870503597,0.6604651162790698,29.75009363291888,1.4142135623730951,695,860,581,0.8359712230215828,35.4408125313539,1.4232042032265013
P7,171,6.029239766081871,2.760233918128655,1.7308769157539121,4.088378523302357,481,472,350,0.7276507276507277,0.7415254237288136,17.310653198721372,1.446421030110375,481,472,388,0.8066528066528067,14.32654579124358,1.4426056672254914
P8,124,3.685483870967742,2.282258064516129,0.9878376511836381,4.6335354122455845,543,283,274,0.5046040515653776,0.9681978798586572,2.3711804271556516,1.3875725275817112,543,283,280,0.5156537753222836,1.8013873019458149,1.3789370397033927
P9,85,5.670588235294118,3.152941176470588,1.7439386332400886,4.729756857355196,266,268,230,0.8646616541353384,0.8582089552238806,11.086699917204085,1.5264337522473903,266,268,243,0.9135338345864662,9.410939434585693,1.5640333637775456
