subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.260273972602739,1.904109589041096,1.8007108627626613,4.903617587396629,325,139,107,0.3292307692307692,0.7697841726618705,14.65870825142887,1.6680024966438511,325,139,126,0.38769230769230767,5.163788123131385,1.393075295789294
P11,109,8.192660550458715,4.110091743119266,2.0317599151565244,4.971665722864736,438,448,393,0.8972602739726028,0.8772321428571429,9.703678568568957,1.4644684706177982,438,448,407,0.9292237442922374,6.58481722860452,1.445175541299748
P12,173,4.468208092485549,2.4104046242774566,1.27184205807553,5.030050770789202,510,417,364,0.7137254901960784,0.8729016786570744,11.564456437402349,1.4142135623730951,510,417,389,0.7627450980392156,4.322955228657929,1.4142135623730951
P13,278,8.723021582733812,4.266187050359712,1.6338885794454379,5.014533709278602,1185,1186,1026,0.8658227848101265,0.8650927487352446,12.805461596687644,1.5259004347487095,1185,1186,1023,0.8632911392405064,9.870260187991741,1.5259004347487095
P14,71,13.084507042253522,4.028169014084507,1.4467580388228034,4.857085135126478,285,286,225,0.7894736842105263,0.7867132867132867,30.816888847304778,1.163923068974314,285,286,234,0.8210526315789474,27.12504839539571,1.163923068974314
P15,266,4.511278195488722,2.612781954887218,1.13839725346176,4.19267506003414,1062,695,529,0.4981167608286252,0.7611510791366907,12.525248811071698,1.8317849556576609,1062,695,661,0.6224105461393596,3.079480935500118,1.6712592705325133
P1,186,7.096774193548387,4.172043010752688,1.2575252426895533,5.344645070211172,774,776,735,0.9496124031007752,0.9471649484536082,3.415758192808202,1.4052069550358812,774,776,757,0.9780361757105943,1.7710077471961072,1.390783972865004
P2,161,11.46583850931677,3.6770186335403725,1.292821468771583,4.19674790218329,576,592,289,0.5017361111111112,0.48817567567567566,56.44723775295875,59.515706435137936,576,592,306,0.53125,50.45588043609646,20.864235584622136
P3,218,4.701834862385321,2.8486238532110093,1.519351016520698,4.221499272926845,691,621,579,0.8379160636758322,0.9323671497584541,6.410604726338126,1.118033988749895,691,621,596,0.8625180897250362,4.201966594360525,1.118033988749895
P4,239,4.196652719665272,2.1589958158995817,1.5456156029963626,4.437465715978398,546,516,444,0.8131868131868132,0.8604651162790697,15.895585351822861,1.1697940221145928,546,516,478,0.8754578754578755,10.519851593253783,1.136363636363626
P5,81,7.703703703703703,4.617283950617284,1.648939725190742,5.75121752191823,386,374,353,0.9145077720207254,0.9438502673796791,5.61373066007045,1.0538926594538784,386,374,371,0.961139896373057,2.3509779105241817,1.0517845865975524
P6,251,8.0199203187251,3.410358565737052,1.4287008348301862,3.9676775513619957,695,856,570,0.8201438848920863,0.6658878504672897,37.234953712009265,1.4232042032265013,695,856,587,0.8446043165467626,36.13778192698502,1.4232042032265013
P7,171,6.169590643274854,2.807017543859649,1.7349850567065204,3.622910015156229,481,480,343,0.7130977130977131,0.7145833333333333,27.69344477624485,1.4261740358861998,481,480,405,0.841995841995842,10.519424648857251,1.326781781129439
P8,124,3.9838709677419355,2.0,1.3567702206160168,4.73723698311019,543,248,224,0.4125230202578269,0.9032258064516129,5.709733390184914,1.4883236770053982,543,248,246,0.4530386740331492,1.6809218287493906,1.4142135623730951
P9,85,5.894117647058824,3.2470588235294118,1.9703115542999352,4.608356822566415,266,276,228,0.8571428571428571,0.8260869565217391,15.017957108439175,1.556888860973569,266,276,250,0.9398496240601504,6.6270953978945375,1.5163281423288604
