filename,candidates,cand_raw,cand_roi,roi_margin_px,kernel_eff,median_ksize_eff,cand_passes_used,cand_raw_pass0,cand_raw_merged,eps_eff,match_tol_eff,min_area_eff,max_area_eff,inliers,ransac_err_px,app_sum,scale_factor,present,predicted,correct,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present,idf_predicted,idf_correct,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10_1100_pos.jpg,1,1,1,0,7,3,5,1,1,3.0,5.0,2,62,0,,,0.5,3,0,0,0.0,nan,,,3,0,0,0.0,,
P10_1200_pos.jpg,1,1,1,0,7,3,5,0,1,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_1500_pos.jpg,2,2,2,0,7,3,5,0,2,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_1650_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_1800_pos.jpg,8,8,8,0,11,3,1,8,8,6.0,10.0,8,250,5,1.6508180335147553,4.828229849783683,1.0,5,5,5,1.0,1.0,1.3619820266167815,1.5811388300841898,5,5,5,1.0,1.3619820266167815,1.5811388300841898
P10_1850_pos.jpg,1,1,1,0,7,3,5,0,1,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_2100_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_2200_pos.jpg,0,0,0,0,7,3,5,0,0,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_2350_pos.jpg,8,8,8,0,11,3,3,6,8,6.0,10.0,8,250,5,2.0185892256095084,6.88884681280482,1.0,5,5,5,1.0,1.0,1.5842592476047848,1.2886015005270186,5,5,5,1.0,1.5842592476047848,1.2886015005270186
P10_2500_pos.jpg,1,1,1,0,7,3,5,0,1,3.0,5.0,2,62,0,,,0.5,5,0,0,0.0,nan,,,5,0,0,0.0,,
P10_250_pos.jpg,10,10,10,0,11,3,1,10,10,6.0,10.0,8,250,5,2.040164578411006,6.123381120270349,1.0,5,5,5,1.0,1.0,1.247079322210615,1.1686107005881374,5,5,5,1.0,1.247079322210615,1.1686107005881374
